sentence_id,word,ner_tag
0,-DOCSTART-,0
1,EU,5
1,rejects,0
1,German,7
1,call,0
1,to,0
1,boycott,0
1,British,7
1,lamb,0
1,.,0
2,Peter,3
2,Blackburn,4
3,BRUSSELS,1
3,1996-08-22,0
4,The,0
4,European,5
4,Commission,6
4,said,0
4,on,0
4,Thursday,0
4,it,0
4,disagreed,0
4,with,0
4,German,7
4,advice,0
4,to,0
4,consumers,0
4,to,0
4,shun,0
4,British,7
4,lamb,0
4,until,0
4,scientists,0
4,determine,0
4,whether,0
4,mad,0
4,cow,0
4,disease,0
4,can,0
4,be,0
4,transmitted,0
4,to,0
4,sheep,0
4,.,0
5,Germany,1
5,'s,0
5,representative,0
5,to,0
5,the,0
5,European,5
5,Union,6
5,'s,0
5,veterinary,0
5,committee,0
5,Werner,3
5,Zwingmann,4
5,said,0
5,on,0
5,Wednesday,0
5,consumers,0
5,should,0
5,buy,0
5,sheepmeat,0
5,from,0
5,countries,0
5,other,0
5,than,0
5,Britain,1
5,until,0
5,the,0
5,scientific,0
5,advice,0
5,was,0
5,clearer,0
5,.,0
6,"""",0
6,We,0
6,do,0
6,n't,0
6,support,0
6,any,0
6,such,0
6,recommendation,0
6,because,0
6,we,0
6,do,0
6,n't,0
6,see,0
6,any,0
6,grounds,0
6,for,0
6,it,0
6,",",0
6,"""",0
6,the,0
6,Commission,5
6,'s,0
6,chief,0
6,spokesman,0
6,Nikolaus,3
6,van,4
6,der,4
6,Pas,4
6,told,0
6,a,0
6,news,0
6,briefing,0
6,.,0
7,He,0
7,said,0
7,further,0
7,scientific,0
7,study,0
7,was,0
7,required,0
7,and,0
7,if,0
7,it,0
7,was,0
7,found,0
7,that,0
7,action,0
7,was,0
7,needed,0
7,it,0
7,should,0
7,be,0
7,taken,0
7,by,0
7,the,0
7,European,5
7,Union,6
7,.,0
8,He,0
8,said,0
8,a,0
8,proposal,0
8,last,0
8,month,0
8,by,0
8,EU,5
8,Farm,0
8,Commissioner,0
8,Franz,3
8,Fischler,4
8,to,0
8,ban,0
8,sheep,0
8,brains,0
8,",",0
8,spleens,0
8,and,0
8,spinal,0
8,cords,0
8,from,0
8,the,0
8,human,0
8,and,0
8,animal,0
8,food,0
8,chains,0
8,was,0
8,a,0
8,highly,0
8,specific,0
8,and,0
8,precautionary,0
8,move,0
8,to,0
8,protect,0
8,human,0
8,health,0
8,.,0
9,Fischler,3
9,proposed,0
9,EU-wide,7
9,measures,0
9,after,0
9,reports,0
9,from,0
9,Britain,1
9,and,0
9,France,1
9,that,0
9,under,0
9,laboratory,0
9,conditions,0
9,sheep,0
9,could,0
9,contract,0
9,Bovine,7
9,Spongiform,8
9,Encephalopathy,8
9,(,0
9,BSE,7
9,),0
9,--,0
9,mad,0
9,cow,0
9,disease,0
9,.,0
10,But,0
10,Fischler,3
10,agreed,0
10,to,0
10,review,0
10,his,0
10,proposal,0
